,Well Name,Depth,GR,ILD,ILD_log10,NPHI,RHOB,PORD,PORDIFF,BVW,Facies
711,AMMY196,1802.78,14.244000000000002,10.166,1.00715010536668,0.2434,2.3092,0.24894410000000003,-0.005544100000000001,0.049590096299497996,1
712,AMMY196,1803.28,14.0858,10.819,1.0341871207934499,0.2522,2.3012,0.2539131,-0.0017131,0.048070256990914995,1
713,AMMY196,1803.78,13.8625,11.515,1.06126394230025,0.2595,2.2918,0.25975149999999997,-0.0002515,0.046594862360960006,1
714,AMMY196,1804.28,13.5556,12.155,1.08475496317935,0.2643,2.2819,0.2659007,-0.0016007,0.045351590519507996,1
715,AMMY196,1804.78,13.3223,12.809000000000001,1.10751522565146,0.2637,2.2778,0.2684472,-0.0047472,0.04417864499847401,1
716,AMMY196,1805.28,13.2546,13.376,1.12632626009494,0.2583,2.2861,0.263292,-0.004992,0.043232153991629996,1
717,AMMY196,1805.78,13.2729,13.599,1.13350697377835,0.2518,2.3132,0.2464596,0.0053403999999999995,0.042876222646319996,1
718,AMMY196,1806.28,13.2987,13.786,1.13943827415817,0.2476,2.3276,0.23751550000000002,0.0100845,0.04258443281843799,1
719,AMMY196,1806.78,13.2777,13.373,1.12622884460642,0.2467,2.3149,0.2454038,0.0012962,0.043237002910683,1
720,AMMY196,1807.28,13.1769,12.97,1.1129399760840801,0.2481,2.3068,0.2504348,-0.0023348,0.043903588211281,1
721,AMMY196,1807.78,13.0835,12.555,1.09881671704894,0.2509,2.2933,0.2588199,-0.0079199,0.044623296050139004,1
722,AMMY196,1808.28,13.0976,12.163,1.0850407067421899,0.2547,2.3072,0.25018640000000003,0.0045137,0.04533667345948099,1
723,AMMY196,1808.78,13.1928,12.052,1.08105912300132,0.258,2.3192,0.24273289999999997,0.015267099999999999,0.045544972358491004,1
724,AMMY196,1809.28,13.3005,11.939,1.07696795219792,0.2589,2.3113,0.2476397,0.011260299999999999,0.045760001312031,1
725,AMMY196,1809.78,13.4324,11.753,1.07014873615231,0.2555,2.3163,0.2445342,0.0109658,0.046120673031717,1
726,AMMY196,1810.28,13.6292,11.569,1.06329582107352,0.2485,2.3311,0.2353416,0.0131584,0.046485991000756,1
727,AMMY196,1810.78,13.6625,11.387,1.05640932064992,0.2402,2.3484,0.2245962,0.015603799999999998,0.04685601434840799,1
728,AMMY196,1811.28,13.2807,11.196,1.04906288979412,0.2327,2.367,0.21304339999999997,0.019656599999999996,0.04725399809364499,1
729,AMMY196,1811.78,12.8078,11.008,1.04170842089144,0.2267,2.383,0.2031057,0.0235943,0.047655803228938996,1
730,AMMY196,1812.28,12.6724,10.806,1.03366496320318,0.2219,2.392,0.1975155,0.0243845,0.04809916340890701,1
731,AMMY196,1812.78,13.0122,10.557,1.02354052155485,0.2177,2.4099,0.18639760000000002,0.0313025,0.048663096872815004,1
732,AMMY196,1813.28,13.8366,10.315,1.01346923230917,0.2135,2.4291,0.17447200000000002,0.039028,0.049230629404328,1
733,AMMY196,1813.78,14.6711,9.958,0.9981721219394409,0.2086,2.4381,0.1688819,0.0397181,0.05010533191189499,1
734,AMMY196,1814.28,14.9124,9.492,0.9773577295453009,0.2026,2.4487,0.16229820000000003,0.040301800000000006,0.05132053079991001,1
735,AMMY196,1814.78,14.6308,9.257,0.9664702637292841,0.1958,2.4533,0.159441,0.036358999999999995,0.051967864693351,1
736,AMMY196,1815.28,14.1372,9.238999999999999,0.965624967109243,0.1889,2.4728,0.14732920000000002,0.041570800000000005,0.052018463589119004,1
737,AMMY196,1815.78,13.6285,9.37,0.971739590887778,0.1827,2.4948,0.1336645,0.0490355,0.051653554067577996,1
738,AMMY196,1816.28,13.2719,9.696,0.986592606822211,0.1775,2.5019,0.1292547,0.048245300000000005,0.050777778981399006,1
739,AMMY196,1816.78,13.1402,10.02,1.0008677215312298,0.17300000000000001,2.5081,0.1254037,0.0475963,0.04995007487521799,4
740,AMMY196,1817.28,13.3127,10.329,1.0140582774243398,0.1703,2.5034,0.12832290000000002,0.041977099999999996,0.049197254318818,4
741,AMMY196,1817.78,13.7073,10.556,1.02349938154801,0.1729,2.4944,0.133913,0.038987,0.048665401815238,1
742,AMMY196,1818.28,14.1888,10.602,1.02538779989041,0.1832,2.4643,0.1526088,0.030591200000000002,0.04855971222900499,1
743,AMMY196,1818.78,14.6018,10.649000000000001,1.02730882703555,0.2004,2.401,0.1919255,0.008474500000000001,0.048452433126670004,1
744,AMMY196,1819.28,14.5408,10.22,1.0094508957986899,0.2172,2.3671,0.2129814,0.0042186,0.049458911765558,1
745,AMMY196,1819.78,14.1692,9.77,0.9898945637187729,0.22699999999999998,2.3602,0.21726710000000002,0.0097329,0.050585112766230005,1
746,AMMY196,1820.28,14.2542,9.15,0.961421094066448,0.2305,2.3843,0.2022981,0.028201900000000002,0.052270837348932,1
747,AMMY196,1820.78,14.7689,8.556000000000001,0.9322707758994899,0.2287,2.3838,0.20260870000000003,0.0260913,0.054054843758050995,1
748,AMMY196,1821.28,15.0038,8.126,0.9098768179903929,0.2221,2.403,0.1906832,0.0314168,0.055466606397918,1
749,AMMY196,1821.78,14.8525,7.726,0.887954703808802,0.2125,2.4121,0.185031,0.027469,0.056884330684302,1
750,AMMY196,1822.28,14.7612,7.635,0.8828090413924399,0.2038,2.4175,0.181677,0.022123,0.057222322891212006,1
751,AMMY196,1822.78,14.8548,7.577999999999999,0.8795546009389742,0.1977,2.4202,0.1799999,0.017700099999999996,0.057437126399632006,1
752,AMMY196,1823.28,14.6651,7.687,0.8857568810692671,0.1936,2.4229,0.178323,0.015277,0.057028449465099,1
753,AMMY196,1823.78,13.9714,7.815,0.8929289823552059,0.1925,2.4253,0.17683239999999997,0.0156676,0.056559493699778,1
754,AMMY196,1824.28,12.7674,7.917999999999999,0.8986154974161858,0.1952,2.4176,0.181615,0.013585,0.056190417069524004,1
755,AMMY196,1824.78,11.3239,7.978,0.9018940319738209,0.2008,2.4026,0.1909316,0.0098684,0.05597872317213,1
756,AMMY196,1825.28,10.5226,8.038,0.905148001856016,0.2068,2.4084,0.1873292,0.0194708,0.055769404017649,1
757,AMMY196,1825.78,10.4475,7.955,0.9006401839825999,0.2071,2.4217,0.17906829999999999,0.0280317,0.056059589378465995,1
758,AMMY196,1826.28,10.4169,7.829,0.893706293064713,0.2011,2.4404,0.1674535,0.033646499999999996,0.056508900570248,1
759,AMMY196,1826.78,10.2245,7.695,0.8862086241674979,0.19399999999999998,2.4589,0.15596279999999998,0.0380373,0.056998797338064004,1
760,AMMY196,1827.28,9.9803,7.4879999999999995,0.874365835730049,0.1897,2.4685,0.1500001,0.0396999,0.057781270440128,1
761,AMMY196,1827.78,9.7369,7.2860000000000005,0.8624891669058969,0.1887,2.4888,0.13739129999999997,0.0513087,0.058576770060042006,2
762,AMMY196,1828.28,9.6749,7.1129999999999995,0.852052808697851,0.1893,2.5113,0.1234161,0.0658839,0.059284832884088,4
763,AMMY196,1828.78,9.8356,6.957999999999999,0.84248442441157,0.1903,2.5282,0.1129193,0.0773807,0.059941525592620996,4
764,AMMY196,1829.28,10.0961,6.81,0.833147111912785,0.1903,2.502,0.1291925,0.0611075,0.060589371617556,1
765,AMMY196,1829.78,10.3924,6.7620000000000005,0.83007516642975,0.1889,2.4819999999999998,0.14161479999999999,0.0472852,0.060804037911339,1
766,AMMY196,1830.28,10.5027,6.715,0.827046017004734,0.1875,2.4693,0.1495031,0.0379969,0.061016458358528,1
767,AMMY196,1830.78,10.3751,6.619,0.8207923810882041,0.1865,2.4644,0.1525466,0.0339534,0.061457347729692004,1
768,AMMY196,1831.28,10.3501,6.497999999999999,0.8127797070089641,0.1857,2.4726,0.14745339999999998,0.0382466,0.062026910630399,1
769,AMMY196,1831.78,10.5313,6.377999999999999,0.80468451490694,0.1853,2.4798,0.14298139999999998,0.0423186,0.062607699617753,1
770,AMMY196,1832.28,10.8569,6.234,0.794766797940821,0.1861,2.4775,0.14440999999999998,0.0416901,0.063326663276073,1
771,AMMY196,1832.78,11.2914,6.093,0.7848311781244691,0.1886,2.4752,0.1458385,0.0427615,0.06405520350200701,1
772,AMMY196,1833.28,11.8861,6.053,0.781970673912552,0.1929,2.4628,0.1535404,0.0393596,0.064266502784437,1
773,AMMY196,1833.78,12.6487,6.039,0.780965029608317,0.1982,2.463,0.1534161,0.0447839,0.064340953040182,1
774,AMMY196,1834.28,12.9483,6.058,0.782329268996837,0.203,2.459,0.1559006,0.0470994,0.064239975973226,1
775,AMMY196,1834.78,12.5324,6.225,0.794139355767774,0.2056,2.4668,0.1510559,0.054544100000000005,0.063372425052448,1
